Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Day,Day_name,week,month,Total Claim Amount
BU79786,Washington,0,1,Bachelor,2/24/11,3,1,2,Married,L3,Offer1,Agent,Two-Door Car,2,2763.519279,56274,69,32,5,0,1,3,Thursday,8,2,384.811147
QZ44356,Arizona,0,3,Bachelor,1/31/11,1,1,2,Single,L3,Offer3,Agent,Four-Door Car,2,6979.535903,0,94,13,42,0,8,0,Monday,5,1,1131.464935
AI49188,Nevada,0,3,Bachelor,2/19/11,3,1,2,Married,L3,Offer1,Agent,Two-Door Car,2,12887.43165,48767,108,18,38,0,2,5,Saturday,7,2,566.472247
WW63253,California,0,1,Bachelor,1/20/11,1,0,2,Married,L2,Offer1,Call Center,SUV,2,7645.861827,0,106,18,65,0,7,3,Thursday,3,1,529.881344
HB64268,Washington,0,1,Bachelor,2/3/11,3,0,1,Single,L1,Offer1,Agent,Four-Door Car,2,2813.692575,43836,73,12,44,0,1,3,Thursday,5,2,138.130879
OC83172,Oregon,1,1,Bachelor,1/25/11,3,1,1,Married,L3,Offer2,Web,Two-Door Car,2,8256.2978,62902,69,14,94,0,2,1,Tuesday,4,1,159.383042
XZ87318,Oregon,1,1,College,2/24/11,3,1,2,Married,L3,Offer1,Agent,Four-Door Car,2,5380.898636,55350,67,0,13,0,9,3,Thursday,8,2,321.6
CF85061,Arizona,0,3,Higher Education,1/18/11,1,0,3,Single,L3,Offer1,Agent,Four-Door Car,2,7216.100311,0,101,0,68,0,4,1,Tuesday,3,1,363.02968
DY87989,Oregon,1,1,Bachelor,1/26/11,2,0,2,Divorced,L3,Offer1,Agent,Four-Door Car,2,24127.50402,14072,71,13,3,0,2,2,Wednesday,4,1,511.2
BQ94931,Oregon,0,3,College,2/17/11,3,1,3,Married,L2,Offer2,Branch,Four-Door Car,2,7388.178085,28812,93,17,7,0,8,3,Thursday,7,2,425.527834
SX51350,California,0,1,College,2/21/11,1,0,2,Single,L3,Offer1,Agent,Four-Door Car,1,4738.992022,0,67,23,5,0,3,0,Monday,8,2,482.4
VQ65197,California,0,1,College,1/6/11,1,1,2,Married,L3,Offer2,Agent,SUV,2,8197.197078,0,110,27,87,0,3,3,Thursday,1,1,528.0
DP39365,California,0,3,Higher Education,2/6/11,3,0,3,Married,L1,Offer2,Agent,Four-Door Car,2,8798.797003,77026,110,9,82,2,3,6,Sunday,5,2,472.029737
SJ95423,Arizona,1,1,High School or Below,1/10/11,3,0,2,Married,L3,Offer2,Branch,SUV,2,8819.018934,99845,110,23,25,1,8,0,Monday,2,1,528.0
IL66569,California,0,1,College,1/18/11,3,0,3,Single,L3,Offer4,Call Center,Four-Door Car,2,5384.431665,83689,70,21,10,2,8,1,Tuesday,3,1,307.139132
BW63560,Oregon,0,1,Bachelor,1/17/11,3,1,1,Married,L2,Offer2,Branch,Four-Door Car,2,7463.139377,24599,64,12,50,1,2,0,Monday,3,1,42.920271
FV94802,Nevada,0,1,High School or Below,2/6/11,2,0,2,Married,L3,Offer2,Call Center,Two-Door Car,2,2566.867823,25049,67,14,7,0,1,6,Sunday,5,2,454.245098
OE15005,California,0,1,College,1/5/11,2,0,2,Married,L2,Offer3,Call Center,SUV,2,3945.241604,28855,101,12,59,0,1,2,Wednesday,1,1,647.442031
WC83389,Oregon,0,1,College,2/27/11,3,0,3,Married,L2,Offer2,Branch,Four-Door Car,2,5710.333115,51148,72,9,1,0,7,6,Sunday,8,2,308.981664
FL50705,California,0,3,High School or Below,1/14/11,3,1,2,Married,L2,Offer1,Call Center,Four-Door Car,1,8162.617053,66140,101,11,21,0,3,4,Friday,2,1,484.8
ZK25313,Oregon,0,1,High School or Below,2/19/11,3,0,2,Single,L2,Offer1,Branch,Two-Door Car,2,2872.051273,57749,74,31,21,0,1,5,Saturday,7,2,355.2
